branch_id,ingredient_id,stock_quantity,unit
BR001,ING001,137,pcs
BR001,ING002,667,pcs
BR001,ING003,242,pcs
BR001,ING004,615,pcs
BR001,ING005,597,g
BR001,ING006,374,g
BR001,ING007,443,g
BR001,ING008,524,g
BR001,ING009,256,g
BR001,ING010,700,ml
BR001,ING011,407,pcs
BR001,ING012,419,pcs
BR001,ING013,564,pcs
BR001,ING014,327,g
BR001,ING015,260,pcs
BR001,ING016,482,g
BR001,ING017,243,pcs
BR001,ING018,132,g
BR001,ING019,315,g
BR001,ING020,101,g
BR001,ING021,521,g
BR001,ING022,747,g
BR001,ING023,796,g
BR001,ING024,150,g
BR001,ING025,707,g
BR001,ING026,223,g
BR001,ING027,361,g
BR001,ING028,281,g
BR001,ING029,675,g
BR001,ING030,646,ml
BR001,ING031,445,ml
BR001,ING032,445,ml
BR001,ING033,745,g
BR001,ING034,229,g
BR001,ING035,467,g
BR001,ING036,759,g
BR001,ING037,355,g
BR001,ING038,290,g
BR001,ING039,766,ml
BR001,ING040,420,ml
BR002,ING001,473,pcs
BR002,ING002,181,pcs
BR002,ING003,768,pcs
BR002,ING004,743,pcs
BR002,ING005,438,g
BR002,ING006,320,g
BR002,ING007,678,g
BR002,ING008,651,g
BR002,ING009,633,g
BR002,ING010,424,ml
BR002,ING011,610,pcs
BR002,ING012,744,pcs
BR002,ING013,439,pcs
BR002,ING014,596,g
BR002,ING015,630,pcs
BR002,ING016,240,g
BR002,ING017,613,pcs
BR002,ING018,482,g
BR002,ING019,660,g
BR002,ING020,296,g
BR002,ING021,321,g
BR002,ING022,747,g
BR002,ING023,406,g
BR002,ING024,508,g
BR002,ING025,743,g
BR002,ING026,774,g
BR002,ING027,591,g
BR002,ING028,601,g
BR002,ING029,510,g
BR002,ING030,503,ml
BR002,ING031,240,ml
BR002,ING032,479,ml
BR002,ING033,566,g
BR002,ING034,430,g
BR002,ING035,219,g
BR002,ING036,146,g
BR002,ING037,738,g
BR002,ING038,167,g
BR002,ING039,130,ml
BR002,ING040,394,ml
BR003,ING001,532,pcs
BR003,ING002,535,pcs
BR003,ING003,688,pcs
BR003,ING004,379,pcs
BR003,ING005,578,g
BR003,ING006,293,g
BR003,ING007,723,g
BR003,ING008,139,g
BR003,ING009,662,g
BR003,ING010,733,ml
BR003,ING011,633,pcs
BR003,ING012,673,pcs
BR003,ING013,359,pcs
BR003,ING014,364,g
BR003,ING015,590,pcs
BR003,ING016,333,g
BR003,ING017,479,pcs
BR003,ING018,428,g
BR003,ING019,782,g
BR003,ING020,305,g
BR003,ING021,548,g
BR003,ING022,593,g
BR003,ING023,277,g
BR003,ING024,214,g
BR003,ING025,605,g
BR003,ING026,259,g
BR003,ING027,389,g
BR003,ING028,663,g
BR003,ING029,790,g
BR003,ING030,750,ml
BR003,ING031,427,ml
BR003,ING032,233,ml
BR003,ING033,110,g
BR003,ING034,301,g
BR003,ING035,263,g
BR003,ING036,659,g
BR003,ING037,250,g
BR003,ING038,304,g
BR003,ING039,592,ml
BR003,ING040,654,ml
