menu_id,ingredient_id,quantity_required
M001,ING001,1
M001,ING002,1
M001,ING005,20
M001,ING006,20
M001,ING007,20
M001,ING008,10
M002,ING001,1
M002,ING002,2
M002,ING005,20
M002,ING006,20
M002,ING007,20
M002,ING008,10
M003,ING001,1
M003,ING002,1
M003,ING005,30
M003,ING006,20
M003,ING007,20
M003,ING008,10
M003,ING016,30
M004,ING001,1
M004,ING006,25
M004,ING007,25
M004,ING008,15
M004,ING020,40
M004,ING023,40
M005,ING001,1
M005,ING003,1
M005,ING005,20
M005,ING006,20
M005,ING007,20
M005,ING008,10
M006,ING001,1
M006,ING003,1
M006,ING005,20
M006,ING006,20
M006,ING007,20
M006,ING008,10
M006,ING004,1
M007,ING013,1
M007,ING003,1
M007,ING005,25
M007,ING006,20
M007,ING007,20
M007,ING008,10
M008,ING011,6
M009,ING011,10
M010,ING003,3
M010,ING009,50
M010,ING010,15
M011,ING013,1
M011,ING003,1
M011,ING005,30
M011,ING006,20
M011,ING007,20
M011,ING008,10
M012,ING013,1
M012,ING004,1
M012,ING005,25
M012,ING006,20
M012,ING007,20
M012,ING008,10
M013,ING013,2
M013,ING016,40
M013,ING005,30
M013,ING006,20
M013,ING007,20
M014,ING013,1
M014,ING016,30
M014,ING006,25
M014,ING007,20
M014,ING008,15
M015,ING013,1
M015,ING002,1
M015,ING005,40
M015,ING016,25
M016,ING009,180
M016,ING010,20
M017,ING009,250
M017,ING010,30
M018,ING009,180
M018,ING008,40
M018,ING010,20
M019,ING005,80
M019,ING037,20
M020,ING006,60
M020,ING007,30
M020,ING008,20
M020,ING040,20
M021,ING009,250
M021,ING030,80
M021,ING037,30
M022,ING009,200
M022,ING010,15
M022,ING005,30
M023,ING006,60
M023,ING007,30
M023,ING008,20
M023,ING040,20
M024,ING006,60
M024,ING005,30
M024,ING040,25
M025,ING003,1
M025,ING006,60
M025,ING007,30
M025,ING008,20
M025,ING040,25
M033,ING030,200
M033,ING033,80
M033,ING031,30
M034,ING030,200
M034,ING033,80
M034,ING032,30
M035,ING030,200
M035,ING033,80
M035,ING027,40
M036,ING029,15
M036,ING030,200
M037,ING029,15
M037,ING030,200
M038,ING035,100
M038,ING036,50
M038,ING037,30
M038,ING024,80
M039,ING035,100
M039,ING036,50
M039,ING037,30
M039,ING038,50
M040,ING030,50
M040,ING033,150
M041,ING033,150
M041,ING031,30
M042,ING033,150
M042,ING032,30
M043,ING035,100
M043,ING036,50
M043,ING037,30
M043,ING038,50
M044,ING035,100
M044,ING036,50
M044,ING037,30
M044,ING030,50
M045,ING013,1
M045,ING015,2
M045,ING005,30
M045,ING037,20
M046,ING035,100
M046,ING036,50
M046,ING037,30
M046,ING015,2
M047,ING013,1
M047,ING015,2
M047,ING005,40
M047,ING016,30
M047,ING006,20
M048,ING001,1
M048,ING002,1
M048,ING005,20
M048,ING006,20
M048,ING007,20
M048,ING008,10
M049,ING011,6
M049,ING009,80
M049,ING010,10
M050,ING001,1
M050,ING002,1
M050,ING005,20
M050,ING006,20
M050,ING007,20
M050,ING008,10
M050,ING009,120
M050,ING010,20
