order_item_id,order_id,menu_id,quantity,unit_price,subtotal
OI00001,ORD00001,M044,3,22.8,68.4
OI00002,ORD00002,M015,2,13.73,27.46
OI00003,ORD00003,M041,1,18.7,18.7
OI00004,ORD00003,M045,1,14.72,14.72
OI00005,ORD00004,M036,3,21.19,63.57
OI00006,ORD00005,M018,2,6.4,12.8
OI00007,ORD00006,M010,3,8.19,24.57
OI00008,ORD00007,M043,3,18.33,54.99
OI00009,ORD00008,M032,1,21.03,21.03
OI00010,ORD00008,M012,2,11.68,23.36
OI00011,ORD00009,M028,3,10.31,30.93
OI00012,ORD00010,M041,1,18.7,18.7
OI00013,ORD00010,M010,2,8.19,16.38
OI00014,ORD00011,M048,3,5.64,16.92
OI00015,ORD00011,M030,2,20.38,40.76
OI00016,ORD00012,M023,2,7.84,15.68
OI00017,ORD00012,M008,1,11.64,11.64
OI00018,ORD00013,M037,3,11.31,33.93
OI00019,ORD00013,M006,1,5.76,5.76
OI00020,ORD00014,M029,2,21.76,43.52
OI00021,ORD00014,M025,1,5.42,5.42
OI00022,ORD00015,M042,3,17.77,53.31
OI00023,ORD00016,M049,1,20.08,20.08
OI00024,ORD00016,M050,3,8.63,25.89
OI00025,ORD00017,M025,1,5.42,5.42
OI00026,ORD00017,M017,3,16.95,50.85
OI00027,ORD00018,M044,3,22.8,68.4
OI00028,ORD00018,M001,3,6.05,18.15
OI00029,ORD00019,M044,3,22.8,68.4
OI00030,ORD00020,M029,3,21.76,65.28
OI00031,ORD00020,M040,2,15.26,30.52
OI00032,ORD00021,M030,3,20.38,61.14
OI00033,ORD00021,M004,1,7.15,7.15
OI00034,ORD00022,M018,1,6.4,6.4
OI00035,ORD00023,M016,3,6.75,20.25
OI00036,ORD00024,M026,3,23.22,69.66
OI00037,ORD00024,M031,1,11.87,11.87
OI00038,ORD00025,M017,3,16.95,50.85
OI00039,ORD00025,M043,2,18.33,36.66
OI00040,ORD00026,M048,2,5.64,11.28
OI00041,ORD00027,M011,2,11.74,23.48
OI00042,ORD00027,M018,2,6.4,12.8
OI00043,ORD00028,M016,1,6.75,6.75
OI00044,ORD00029,M007,3,15.72,47.16
OI00045,ORD00030,M009,1,22.04,22.04
OI00046,ORD00030,M015,1,13.73,13.73
OI00047,ORD00031,M035,3,15.54,46.62
OI00048,ORD00031,M032,2,21.03,42.06
OI00049,ORD00032,M041,3,18.7,56.1
OI00050,ORD00032,M013,3,9.9,29.7
OI00051,ORD00033,M043,3,18.33,54.99
OI00052,ORD00034,M031,2,11.87,23.74
OI00053,ORD00034,M009,3,22.04,66.12
OI00054,ORD00035,M016,1,6.75,6.75
OI00055,ORD00036,M024,1,20.8,20.8
OI00056,ORD00037,M024,3,20.8,62.4
OI00057,ORD00038,M042,1,17.77,17.77
OI00058,ORD00038,M011,3,11.74,35.22
OI00059,ORD00039,M016,2,6.75,13.5
OI00060,ORD00039,M038,3,12.96,38.88
OI00061,ORD00040,M019,2,11.31,22.62
OI00062,ORD00040,M038,3,12.96,38.88
OI00063,ORD00041,M033,3,9.14,27.42
OI00064,ORD00041,M024,1,20.8,20.8
OI00065,ORD00042,M042,1,17.77,17.77
OI00066,ORD00043,M043,2,18.33,36.66
OI00067,ORD00044,M014,2,5.03,10.06
OI00068,ORD00045,M011,3,11.74,35.22
OI00069,ORD00046,M028,1,10.31,10.31
OI00070,ORD00047,M001,1,6.05,6.05
OI00071,ORD00048,M004,2,7.15,14.3
OI00072,ORD00049,M044,2,22.8,45.6
OI00073,ORD00050,M035,2,15.54,31.08
OI00074,ORD00051,M012,2,11.68,23.36
OI00075,ORD00051,M015,2,13.73,27.46
OI00076,ORD00052,M041,2,18.7,37.4
OI00077,ORD00052,M050,2,8.63,17.26
OI00078,ORD00053,M002,3,6.74,20.22
OI00079,ORD00053,M045,1,14.72,14.72
OI00080,ORD00054,M046,1,18.37,18.37
OI00081,ORD00055,M017,1,16.95,16.95
OI00082,ORD00056,M002,1,6.74,6.74
OI00083,ORD00056,M005,3,23.02,69.06
OI00084,ORD00057,M036,1,21.19,21.19
OI00085,ORD00057,M045,1,14.72,14.72
OI00086,ORD00058,M008,2,11.64,23.28
OI00087,ORD00059,M043,3,18.33,54.99
OI00088,ORD00060,M029,3,21.76,65.28
OI00089,ORD00061,M016,1,6.75,6.75
OI00090,ORD00062,M018,3,6.4,19.2
OI00091,ORD00063,M016,1,6.75,6.75
OI00092,ORD00064,M008,1,11.64,11.64
OI00093,ORD00064,M033,2,9.14,18.28
OI00094,ORD00065,M006,3,5.76,17.28
OI00095,ORD00065,M045,3,14.72,44.16
OI00096,ORD00066,M022,2,6.86,13.72
OI00097,ORD00066,M040,1,15.26,15.26
OI00098,ORD00067,M005,1,23.02,23.02
OI00099,ORD00068,M026,1,23.22,23.22
OI00100,ORD00068,M034,3,17.18,51.54
OI00101,ORD00069,M023,3,7.84,23.52
OI00102,ORD00070,M040,3,15.26,45.78
OI00103,ORD00071,M029,1,21.76,21.76
OI00104,ORD00072,M017,2,16.95,33.9
OI00105,ORD00073,M009,2,22.04,44.08
OI00106,ORD00074,M035,3,15.54,46.62
OI00107,ORD00074,M036,2,21.19,42.38
OI00108,ORD00075,M011,1,11.74,11.74
OI00109,ORD00075,M050,1,8.63,8.63
OI00110,ORD00076,M006,2,5.76,11.52
OI00111,ORD00077,M016,3,6.75,20.25
OI00112,ORD00077,M025,2,5.42,10.84
OI00113,ORD00078,M043,3,18.33,54.99
OI00114,ORD00078,M038,3,12.96,38.88
OI00115,ORD00079,M029,3,21.76,65.28
OI00116,ORD00080,M028,1,10.31,10.31
OI00117,ORD00080,M043,2,18.33,36.66
OI00118,ORD00081,M016,1,6.75,6.75
OI00119,ORD00082,M022,1,6.86,6.86
OI00120,ORD00082,M021,3,23.11,69.33
OI00121,ORD00083,M016,3,6.75,20.25
OI00122,ORD00084,M024,2,20.8,41.6
OI00123,ORD00084,M050,3,8.63,25.89
OI00124,ORD00085,M019,2,11.31,22.62
OI00125,ORD00086,M014,1,5.03,5.03
OI00126,ORD00087,M009,2,22.04,44.08
OI00127,ORD00087,M012,2,11.68,23.36
OI00128,ORD00088,M016,2,6.75,13.5
OI00129,ORD00088,M047,2,12.49,24.98
OI00130,ORD00089,M033,3,9.14,27.42
OI00131,ORD00089,M001,3,6.05,18.15
OI00132,ORD00090,M011,2,11.74,23.48
OI00133,ORD00090,M020,2,13.97,27.94
OI00134,ORD00091,M015,1,13.73,13.73
OI00135,ORD00091,M003,2,13.14,26.28
OI00136,ORD00092,M048,3,5.64,16.92
OI00137,ORD00092,M037,1,11.31,11.31
OI00138,ORD00093,M002,3,6.74,20.22
OI00139,ORD00094,M012,3,11.68,35.04
OI00140,ORD00095,M016,2,6.75,13.5
OI00141,ORD00096,M012,3,11.68,35.04
OI00142,ORD00096,M027,2,16.47,32.94
OI00143,ORD00097,M014,3,5.03,15.09
OI00144,ORD00097,M025,3,5.42,16.26
OI00145,ORD00098,M035,1,15.54,15.54
OI00146,ORD00099,M012,2,11.68,23.36
OI00147,ORD00099,M002,2,6.74,13.48
OI00148,ORD00100,M035,2,15.54,31.08
OI00149,ORD00100,M047,2,12.49,24.98
OI00150,ORD00101,M038,2,12.96,25.92
OI00151,ORD00102,M024,3,20.8,62.4
OI00152,ORD00103,M032,3,21.03,63.09
OI00153,ORD00103,M027,1,16.47,16.47
OI00154,ORD00104,M014,2,5.03,10.06
OI00155,ORD00105,M023,1,7.84,7.84
OI00156,ORD00105,M042,1,17.77,17.77
OI00157,ORD00106,M034,3,17.18,51.54
OI00158,ORD00107,M027,2,16.47,32.94
OI00159,ORD00107,M049,3,20.08,60.24
OI00160,ORD00108,M001,2,6.05,12.1
OI00161,ORD00109,M001,2,6.05,12.1
OI00162,ORD00110,M037,2,11.31,22.62
OI00163,ORD00110,M030,2,20.38,40.76
OI00164,ORD00111,M006,2,5.76,11.52
OI00165,ORD00112,M047,1,12.49,12.49
OI00166,ORD00113,M039,3,20.39,61.17
OI00167,ORD00114,M043,2,18.33,36.66
OI00168,ORD00114,M038,2,12.96,25.92
OI00169,ORD00115,M034,2,17.18,34.36
OI00170,ORD00116,M019,2,11.31,22.62
OI00171,ORD00116,M002,3,6.74,20.22
OI00172,ORD00117,M023,3,7.84,23.52
OI00173,ORD00118,M035,1,15.54,15.54
OI00174,ORD00119,M034,1,17.18,17.18
OI00175,ORD00119,M009,2,22.04,44.08
OI00176,ORD00120,M018,3,6.4,19.2
OI00177,ORD00120,M012,3,11.68,35.04
OI00178,ORD00121,M027,1,16.47,16.47
OI00179,ORD00121,M002,1,6.74,6.74
OI00180,ORD00122,M004,2,7.15,14.3
OI00181,ORD00122,M019,3,11.31,33.93
OI00182,ORD00123,M009,3,22.04,66.12
OI00183,ORD00123,M024,3,20.8,62.4
OI00184,ORD00124,M036,2,21.19,42.38
OI00185,ORD00124,M039,3,20.39,61.17
OI00186,ORD00125,M021,2,23.11,46.22
OI00187,ORD00126,M043,3,18.33,54.99
OI00188,ORD00126,M043,1,18.33,18.33
OI00189,ORD00127,M021,3,23.11,69.33
OI00190,ORD00128,M045,2,14.72,29.44
