order_id,branch_id,order_date,total_amount,status
ORD00494,BR003,2025-01-01,25.03,Completed
ORD00520,BR003,2025-01-01,64.15,Completed
ORD00692,BR003,2025-01-01,31.12,Completed
ORD00818,BR004,2025-01-01,44.08,Completed
ORD02166,BR003,2025-01-01,22.8,Completed
ORD02517,BR003,2025-01-01,49.21,Completed
ORD02922,BR003,2025-01-01,37.47,Completed
ORD03001,BR003,2025-01-01,68.4,Completed
ORD03127,BR003,2025-01-01,54.82,Completed
ORD03648,BR002,2025-01-01,78.71,Completed
ORD03979,BR001,2025-01-01,17.77,Completed
ORD04050,BR004,2025-01-01,11.64,Completed
ORD04353,BR004,2025-01-01,21.19,Completed
ORD04622,BR002,2025-01-01,23.11,Completed
ORD04922,BR001,2025-01-01,8.63,Completed
ORD05760,BR002,2025-01-01,123.54,Completed
ORD00643,BR002,2025-01-02,68.58,Completed
ORD02037,BR003,2025-01-02,41.19,Completed
ORD02235,BR004,2025-01-02,18.7,Completed
ORD02755,BR001,2025-01-02,61.17,Completed
ORD04442,BR001,2025-01-02,43.52,Completed
ORD04443,BR003,2025-01-02,22.04,Completed
ORD04843,BR003,2025-01-02,21.45,Completed
ORD05121,BR002,2025-01-02,22.04,Completed
ORD05611,BR003,2025-01-02,46.62,Completed
ORD06045,BR004,2025-01-02,20.8,Completed
ORD06689,BR002,2025-01-02,33.95,Completed
ORD06977,BR003,2025-01-02,5.76,Completed
ORD00197,BR001,2025-01-03,93.61,Completed
ORD00377,BR001,2025-01-03,46.62,Completed
ORD01718,BR003,2025-01-03,16.95,Completed
ORD01720,BR001,2025-01-03,6.05,Completed
ORD04105,BR001,2025-01-03,20.08,Completed
ORD04609,BR003,2025-01-03,36.74,Completed
ORD04758,BR001,2025-01-03,40.16,Completed
ORD06513,BR004,2025-01-03,38.71,Completed
ORD00157,BR002,2025-01-04,37.8,Completed
ORD00530,BR002,2025-01-04,17.28,Completed
ORD01240,BR001,2025-01-04,132.06,Completed
ORD01803,BR003,2025-01-04,7.84,Completed
ORD01812,BR001,2025-01-04,66.63,Completed
ORD02441,BR001,2025-01-04,58.73,Completed
ORD03007,BR004,2025-01-04,13.48,Completed
ORD03117,BR003,2025-01-04,87.15,Completed
ORD03640,BR001,2025-01-04,75.1,Completed
ORD04213,BR004,2025-01-04,13.73,Completed
ORD05920,BR004,2025-01-04,20.8,Completed
ORD06671,BR001,2025-01-04,45.52,Completed
ORD00400,BR001,2025-01-05,26.28,Completed
ORD00975,BR002,2025-01-05,70.64,Completed
ORD01061,BR004,2025-01-05,36.98,Completed
ORD01846,BR004,2025-01-05,42.06,Completed
ORD02215,BR003,2025-01-05,5.64,Completed
ORD02311,BR002,2025-01-05,20.5,Completed
ORD02868,BR004,2025-01-05,15.68,Completed
ORD03210,BR003,2025-01-05,29.44,Completed
ORD04708,BR004,2025-01-05,57.72,Completed
ORD04831,BR003,2025-01-05,51.54,Completed
ORD05208,BR002,2025-01-05,69.33,Completed
ORD00498,BR004,2025-01-06,52.58,Completed
ORD00927,BR002,2025-01-06,6.75,Completed
ORD02303,BR003,2025-01-06,33.93,Completed
ORD02640,BR003,2025-01-06,50.83,Completed
ORD03363,BR001,2025-01-06,65.28,Completed
ORD04274,BR001,2025-01-06,28.23,Completed
ORD04281,BR001,2025-01-06,83.65,Completed
ORD04305,BR003,2025-01-06,45.15,Completed
ORD04348,BR004,2025-01-06,65.82,Completed
ORD04722,BR001,2025-01-06,16.38,Completed
ORD04836,BR001,2025-01-06,6.4,Completed
ORD05191,BR003,2025-01-06,38.08,Completed
ORD06214,BR002,2025-01-06,15.68,Completed
ORD01069,BR001,2025-01-07,33.72,Completed
ORD01092,BR001,2025-01-07,13.73,Completed
ORD01101,BR002,2025-01-07,30.52,Completed
